,DBC,DIA,FEZ,IJH,IWD,IWF,IWM,IWN,IWO,MDY,OEF,PFF,QQQ,SPY,VTI
2011-02-08,28.41097640991211,99.5947494506836,30.44096565246582,84.20523071289062,55.82547378540039,53.79754638671875,71.6332778930664,61.71977996826172,84.56012725830078,156.0259246826172,49.90067672729492,23.328258514404297,52.86375045776367,111.21603393554688,57.74528121948242
2011-02-09,28.549179077148438,99.70890808105469,30.507963180541992,84.02920532226562,55.612754821777344,53.708778381347656,71.31582641601562,61.49280548095703,84.12431335449219,155.7567138671875,49.8005256652832,23.334203720092773,52.77265930175781,110.96432495117188,57.59331512451172
2011-02-10,28.381359100341797,99.61922454833984,30.187843322753906,84.41648864746094,55.70274353027344,53.726531982421875,71.59803771972656,61.62731170654297,84.67141723632812,156.51954650878906,49.68368148803711,23.363983154296875,52.85464859008789,111.00629425048828,57.660850524902344
2011-02-11,28.282642364501953,100.01058197021484,30.12828826904297,85.2615737915039,56.03003692626953,54.0993766784668,72.37405395507812,62.266204833984375,85.60797119140625,158.15274047851562,49.95909881591797,23.435453414916992,53.23725891113281,111.66903686523438,58.04075622558594
2011-02-14,28.420846939086914,99.97798156738281,29.875171661376953,85.6224365234375,56.15275573730469,54.24142837524414,72.74442291259766,62.51840591430664,86.14581298828125,158.72703552246094,50.067604064941406,23.44141387939453,53.364803314208984,111.93743896484375,58.19272232055664
2011-02-15,28.055591583251953,99.6436996459961,29.882619857788086,85.31436157226562,56.02184295654297,54.03723907470703,72.32997131347656,62.25780487060547,85.5152359008789,158.17068481445312,49.950740814208984,23.429494857788086,53.29190444946289,111.58509826660156,58.00699996948242
2011-02-16,28.262897491455078,100.19819641113281,30.448402404785156,85.9393539428711,56.3327522277832,54.418975830078125,72.91197967529297,62.728546142578125,86.26634216308594,159.31027221679688,50.201133728027344,23.524776458740234,53.638084411621094,112.28982543945312,58.38688659667969
2011-02-17,28.351743698120117,100.42647552490234,30.627065658569336,86.30905151367188,56.594581604003906,54.54325485229492,73.42346954345703,63.190914154052734,86.85054016113281,159.98333740234375,50.343013763427734,23.495004653930664,53.6198616027832,112.62538146972656,58.59795379638672
2011-02-18,28.32213020324707,101.0313491821289,30.775962829589844,86.30025482177734,56.67639923095703,54.605403900146484,73.50283813476562,63.32538604736328,86.86908721923828,160.11793518066406,50.44316864013672,23.57242774963379,53.50144577026367,112.86030578613281,58.70771026611328
2011-02-22,28.282642364501953,99.63361358642578,29.599720001220703,84.38130950927734,55.52275085449219,53.43356704711914,71.61564636230469,61.78704071044922,84.41175842285156,156.33106994628906,49.54179763793945,23.423551559448242,51.952789306640625,110.59518432617188,57.44980239868164
2011-02-23,28.91443634033203,98.78349304199219,29.748607635498047,83.15772247314453,55.29365158081055,53.0074577331543,70.3810806274414,60.90436935424805,82.83535766601562,154.14144897460938,49.31644821166992,23.41162872314453,51.524627685546875,109.9156723022461,56.968589782714844
2011-02-24,28.65777015686035,98.43199157714844,29.77094268798828,83.14891815185547,55.20363998413086,52.99857711791992,70.83081817626953,61.139739990234375,83.45663452148438,154.13247680664062,49.19961929321289,23.393774032592773,51.79792404174805,109.84015655517578,56.97703552246094
